Darius             Pavardenis5 |   1  1  5  2  3  2  3  3  1  6 |   1 ; final points:  1.68
Egle               Pavardaite8 |   1  4  4  6  1  7  5  3  5  1 |   1 ; final points:  2.08
Ignas              Pavardenis1 |   8  1  1  2  6  6  5  1  1  6 |   1 ; final points:  2.08
Irma               Pavardaite2 |   6  6  3  6  1  5  2  4  1  3 |   1 ; final points:  2.08
Ignas              Pavardenis8 |   4  1  9  9  1  4  2  4  1  2 |   1 ; final points:  2.08
Irma               Pavardaite3 |   3  2  7  6  1  3  3  9  1  3 |   1 ; final points:  2.12
Irma               Pavardaite3 |   3  1  6  2  5  6  1  9  2  3 |   1 ; final points:  2.12
Jolanta            Pavardaite8 |   3  1  4  1  2  4  2  5  7  9 |   1 ; final points:  2.12
Irena             Pavardaite10 |   4  3  3  4  5  7  1  7  2  2 |   1 ; final points:  2.12
Jonas              Pavardenis7 |   6  2  1 10  5  2  3  4  4  1 |   1 ; final points:  2.12
Petras             Pavardenis7 |   9  6  7  3  6  2  2  2  1  1 |   1 ; final points:  2.16
Ignas              Pavardenis7 |   2  9  5  4  3  2  2  6  2  4 |   1 ; final points:  2.16
Darius             Pavardenis8 |   8  6  2  2  2  4  1  2  3  9 |   1 ; final points:  2.16
Darius             Pavardenis2 |   5 10  2  1  4  2  2  3  3  7 |   1 ; final points:  2.16
Ignas              Pavardenis3 |   3  8  2  5  6  2  6  1  2  4 |   1 ; final points:  2.16
Simas             Pavardenis10 |   1  5  8  3  9  3  1  2  3  4 |   1 ; final points:  2.16
Petras             Pavardenis8 |   5  4  7  1  2  1  4  1  5 10 |   1 ; final points:  2.20
Darius             Pavardenis5 |   2  5  1  3  9  1  6  4  6  3 |   1 ; final points:  2.20
Irma              Pavardaite10 |   2  1  9  7  3  1  6  3  7  1 |   1 ; final points:  2.20
Irena              Pavardaite7 |   6  1  1  7  4  1  5  1  8  6 |   1 ; final points:  2.20
Egle               Pavardaite3 |   2  7  3  2  3  9  8  3  2  1 |   1 ; final points:  2.20
Irma               Pavardaite7 |  10  1  3  3  5  1  2  4  5  6 |   1 ; final points:  2.20
Simas              Pavardenis1 |   3  6  4  5  1 10  1  6  2  2 |   1 ; final points:  2.20
Irma               Pavardaite6 |   1  4  2  8  2  4  1  5  9  4 |   1 ; final points:  2.20
Ignas             Pavardenis10 |   6  1  6  9  5  2  3  3  3  2 |   1 ; final points:  2.20
Irma               Pavardaite4 |   5  7  1  3  3  3  3  6  3  6 |   1 ; final points:  2.20
Darius             Pavardenis2 |   1  4  1  4 10  1  2  8  3  6 |   1 ; final points:  2.20
Jolanta            Pavardaite7 |   1  3  3  8 10  1  2  6  5  1 |   1 ; final points:  2.20
Jonas              Pavardenis3 |   1  4  1  5  5  3  5  7  1  8 |   1 ; final points:  2.20
Jonas              Pavardenis4 |   8  3  1  4  3  6  2  3  8  3 |   1 ; final points:  2.24
Darius             Pavardenis9 |   3  4 10  5  5  7  1  1  3  2 |   1 ; final points:  2.24
Irena              Pavardaite8 |   6  5  1  1  4  1  7  5  8  3 |   1 ; final points:  2.24
Irma               Pavardaite1 |   6  3  1  3  3  2  2  6  8  7 |   1 ; final points:  2.24
Egle               Pavardaite8 |   6  3  3  3  3  1  7  1 10  4 |   1 ; final points:  2.24
Irena              Pavardaite6 |   2  2  1  6  4  4  8  9  3  2 |   1 ; final points:  2.24
Alma               Pavardaite7 |   6  3  5  6  7  1  7  2  2  2 |   1 ; final points:  2.24
Egle               Pavardaite1 |   6  1  3  4  1  3  8  1  8  6 |   1 ; final points:  2.24
Jolanta            Pavardaite7 |   1  8  1  2  2  3 10  6  5  3 |   1 ; final points:  2.24
Alma               Pavardaite8 |   9  6  2 10  1  3  5  1  3  1 |   1 ; final points:  2.24
Jolanta            Pavardaite4 |   2  6  4  1  6  2  3  3  5  9 |   1 ; final points:  2.24
Jolanta            Pavardaite4 |   4  2  7  1  7  4  3  1  7  5 |   1 ; final points:  2.24
Jolanta            Pavardaite9 |   8  1  2  6  6  2  2  3  4  7 |   1 ; final points:  2.24
Petras             Pavardenis8 |   2  4  2  2  3  1  9  1  1  1 |   2 ; final points:  2.24
Irma               Pavardaite7 |   7  4  1  9  3  7  1  1  5  3 |   1 ; final points:  2.24
Ignas              Pavardenis1 |   1  4  4  1  6  7  2  9  6  1 |   1 ; final points:  2.24
Jolanta            Pavardaite7 |   2  5  8  4  5  2  4  3  3  5 |   1 ; final points:  2.24
Jonas              Pavardenis9 |   5  4  1  2  3  5  1  7  7  6 |   1 ; final points:  2.24
Simas              Pavardenis4 |   6  9  7  1  2  1  1  2  6  6 |   1 ; final points:  2.24
Petras             Pavardenis7 |   1  8  1  1  9  1  7  3  1  9 |   1 ; final points:  2.24
Petras             Pavardenis8 |   8  4  1  3  3  2  6  2 10  3 |   1 ; final points:  2.28
Darius             Pavardenis1 |   2  1  9  5  1  6  9  2  2  5 |   1 ; final points:  2.28
Jonas              Pavardenis1 |   2  2  3  8  2  5  3 10  5  2 |   1 ; final points:  2.28
Egle               Pavardaite5 |   5  3  6  1  6  5  3  4  4  5 |   1 ; final points:  2.28
Irena              Pavardaite9 |   3  4  1  7  3  2  7  5  5  5 |   1 ; final points:  2.28
Irma              Pavardaite10 |   7  5  3  5  2  3 10  5  1  1 |   1 ; final points:  2.28
Jolanta            Pavardaite9 |   6  2  2  4  5  9  1  5  1  7 |   1 ; final points:  2.28
Alma               Pavardaite6 |  10  4  1  3  5  1  8  1  2  7 |   1 ; final points:  2.28
Simas             Pavardenis10 |   2 10  4  3  8  2  8  2  1  2 |   1 ; final points:  2.28
Petras             Pavardenis6 |   3  2  4  7  3  5  9  1  1  7 |   1 ; final points:  2.28
Petras            Pavardenis10 |   2  6  1  5  4  6  5  1  4  8 |   1 ; final points:  2.28
Irma               Pavardaite7 |   7  2  6  1  5  1  3  1  8  8 |   1 ; final points:  2.28
Irena              Pavardaite4 |   4  6  4  2  3  2  9  5  3  4 |   1 ; final points:  2.28
Jolanta            Pavardaite1 |   2  4  1  8  7  6  2  7  4  2 |   1 ; final points:  2.32
Ignas              Pavardenis5 |   1  2  6  7  1  1  4  4  9  8 |   1 ; final points:  2.32
Petras             Pavardenis2 |   2  5  6  2  2  2  4  9  3  8 |   1 ; final points:  2.32
Egle              Pavardaite10 |   5  2  8  2  2  1  4 10  1  8 |   1 ; final points:  2.32
Simas              Pavardenis6 |   5  2  8  5  1  2  5  4  5  6 |   1 ; final points:  2.32
Egle              Pavardaite10 |   6  3  4 10  6  1  9  1  1  2 |   1 ; final points:  2.32
Alma               Pavardaite5 |   3  7  6  6  1  3  5  3  2  7 |   1 ; final points:  2.32
Jolanta           Pavardaite10 |   1  8  6  2  2  8  3  1  7  5 |   1 ; final points:  2.32
Petras            Pavardenis10 |   1  2  2  9  6  8  1  6  6  2 |   1 ; final points:  2.32
Irma               Pavardaite9 |   7  1  2  3  4  2  9  1  9  5 |   1 ; final points:  2.32
Petras             Pavardenis2 |   6  6  2  3  2  6  1  8  5  4 |   1 ; final points:  2.32
Ignas              Pavardenis5 |   2  1  4  7  3  3 10 10  1  2 |   1 ; final points:  2.32
Simas              Pavardenis8 |   2  3  4  1  1  7  1  5  9 10 |   1 ; final points:  2.32
Simas              Pavardenis8 |   4  2  9  4  3  1  2  5  6  7 |   1 ; final points:  2.32
Darius             Pavardenis2 |   3  8  3  7  2  5  1  8  3  3 |   1 ; final points:  2.32
Irma               Pavardaite6 |   6  3  8  1  6  6  2  1  9  1 |   1 ; final points:  2.32
Egle               Pavardaite4 |   7  7  2  4 10  1  6  2  2  2 |   1 ; final points:  2.32
Simas              Pavardenis6 |   2  2  5  1  2  7  8  2  6  8 |   1 ; final points:  2.32
Ignas              Pavardenis2 |   5  8  9  6  3  1  4  5  1  1 |   1 ; final points:  2.32
Ignas              Pavardenis5 |   5  1  8  6  1  8  2  5  5  2 |   1 ; final points:  2.32
Petras             Pavardenis7 |   2  2  6  1  7  1  2  8 10  4 |   1 ; final points:  2.32
Darius             Pavardenis3 |   4  7  2  1  4  5  9  3  6  2 |   1 ; final points:  2.32
Egle               Pavardaite6 |   8  3  3  6  5  3  6  2  2  5 |   1 ; final points:  2.32
Simas              Pavardenis6 |   3 10  2  1  5  3 10  5  2  3 |   1 ; final points:  2.36
Irma               Pavardaite7 |   4  6  4  3  4  3  3  8  5  4 |   1 ; final points:  2.36
Irma               Pavardaite6 |  10  2  8  6  5  2  1  1  2  7 |   1 ; final points:  2.36
Irma               Pavardaite7 |   4  2  1  3  2  7  6  5  5  9 |   1 ; final points:  2.36
Irena              Pavardaite8 |   3  3  2  5  7  3 10  1  5  5 |   1 ; final points:  2.36
Jolanta            Pavardaite3 |   3  6  1  9  9  2  3  2  2  7 |   1 ; final points:  2.36
Irma               Pavardaite5 |   7  3  6  1  9  1  3  2  2 10 |   1 ; final points:  2.36
Petras             Pavardenis2 |   4  1  6  8  3  2  8  3  3  6 |   1 ; final points:  2.36
Petras             Pavardenis5 |   1  4  2  4  2  5  6  8  5  7 |   1 ; final points:  2.36
Darius            Pavardenis10 |  10  1  7  1  9  7  1  2  5  1 |   1 ; final points:  2.36
Irma               Pavardaite3 |   1  4  9  2  6  4  6  4  3  5 |   1 ; final points:  2.36
Jolanta            Pavardaite3 |   9  8  4  6  3  2  3  5  3  1 |   1 ; final points:  2.36
Irena              Pavardaite3 |   2  1  6  8  4  3  2  7  1 10 |   1 ; final points:  2.36
Petras             Pavardenis1 |   2  4  8  6  4  4  6  1  5  4 |   1 ; final points:  2.36
Darius             Pavardenis9 |   5 10  2  5  1  1  7  1  6  6 |   1 ; final points:  2.36
Darius             Pavardenis7 |   8  6  4  4  5  5  2  1  2  7 |   1 ; final points:  2.36
Petras             Pavardenis2 |   2  8  1  1  5  8  4  1 10  4 |   1 ; final points:  2.36
Ignas              Pavardenis7 |   3  3  8  2  2  4  4  6  2 10 |   1 ; final points:  2.36
Irma               Pavardaite3 |   1  3  6  8  6  6  6  2  5  1 |   1 ; final points:  2.36
Egle               Pavardaite7 |   6  4  4  1  4  1  3  9  9  3 |   1 ; final points:  2.36
Irma               Pavardaite8 |   8  1  1  7  3  2  7  6  4  5 |   1 ; final points:  2.36
Alma               Pavardaite2 |   2  9  3  7  6  1  6  1  6  3 |   1 ; final points:  2.36
Ignas              Pavardenis9 |   1  6  4  9  4  2  3  2  7  6 |   1 ; final points:  2.36
Irma               Pavardaite5 |   4  3  3  6 10  1 10  2  4  2 |   1 ; final points:  2.40
Irena             Pavardaite10 |   3  7  9  8 10  1  2  1  3  1 |   1 ; final points:  2.40
Alma               Pavardaite7 |   8  4  7  7  1  1  3  1  5  8 |   1 ; final points:  2.40
Irena              Pavardaite9 |   2  3  4  1  3  5  9  6  7  5 |   1 ; final points:  2.40
Ignas             Pavardenis10 |   2  7  9  5  5  5  4  3  1  4 |   1 ; final points:  2.40
Darius             Pavardenis1 |   6  5  1  1  1  7 10  2  8  4 |   1 ; final points:  2.40
Irena              Pavardaite9 |   9  3  6  1  6  5  6  3  5  1 |   1 ; final points:  2.40
Petras             Pavardenis6 |   5  8  1  3  2  9  3  7  3  4 |   1 ; final points:  2.40
Simas              Pavardenis4 |   4  4  2  2  2  7  5  2  7 10 |   1 ; final points:  2.40
Egle               Pavardaite6 |   8  3  8  2  4  1  8  6  2  3 |   1 ; final points:  2.40
Darius             Pavardenis1 |   6  5  2 10  1  6  8  5  1  1 |   1 ; final points:  2.40
Irma              Pavardaite10 |   5  1  6  3 10  7  3  2  4  4 |   1 ; final points:  2.40
Irena              Pavardaite2 |   6  8  7  2  1  9  3  1  2  6 |   1 ; final points:  2.40
Irena              Pavardaite5 |   3  3  7  8  3  7  1  1  2 10 |   1 ; final points:  2.40
Simas              Pavardenis3 |   5  2  4  7  1  1  6  5  6  8 |   1 ; final points:  2.40
Ignas              Pavardenis3 |   3  6  3  3  4  3  3  8  8  4 |   1 ; final points:  2.40
Ignas              Pavardenis2 |   3  6  1  8  3  7  3  2  2 10 |   1 ; final points:  2.40
Simas              Pavardenis8 |   5 10  2  7  4  1  8  1  2  5 |   1 ; final points:  2.40
Petras             Pavardenis1 |   2  5  5  4  1  9  2  4 10  3 |   1 ; final points:  2.40
Ignas              Pavardenis9 |   4  8  9  2  7  2  7  1  4  2 |   1 ; final points:  2.44
Ignas             Pavardenis10 |   8  4  9  1  2  2  4  1  6  9 |   1 ; final points:  2.44
Alma               Pavardaite7 |   9  5  2  6  4  1  1  8  5  5 |   1 ; final points:  2.44
Petras             Pavardenis5 |   6  1  3  2  8  4  4  9  8  1 |   1 ; final points:  2.44
Irma               Pavardaite2 |  10  3  3  3  6  7  5  4  4  1 |   1 ; final points:  2.44
Irma               Pavardaite1 |   2  1  2 10  3  4  9  7  5  3 |   1 ; final points:  2.44
Jonas             Pavardenis10 |   1  4  3  4  4  6  5  6  4  9 |   1 ; final points:  2.44
Irena              Pavardaite5 |   2  6  7  2  1  3  8  3  9  5 |   1 ; final points:  2.44
Jonas              Pavardenis3 |   8  4  1  3  4  1  2  9  5  9 |   1 ; final points:  2.44
Petras             Pavardenis8 |   7 10  4  1  2  7  2  7  3  3 |   1 ; final points:  2.44
Jolanta            Pavardaite1 |   6  3  1  8  2  2  8  1  7  8 |   1 ; final points:  2.44
Irena              Pavardaite6 |   2  5  2  4 10 10  9  2  1  1 |   1 ; final points:  2.44
Simas              Pavardenis7 |   4  9  3  2  6  1  7  5  5  4 |   1 ; final points:  2.44
Ignas              Pavardenis5 |   1  7  3  2  6  9  5  6  3  4 |   1 ; final points:  2.44
Irena              Pavardaite6 |   5  3  8  3  2  4  6  4 10  1 |   1 ; final points:  2.44
Irma               Pavardaite3 |   3  4  2  5  2  5  5  3  9  8 |   1 ; final points:  2.44
Jolanta            Pavardaite2 |   6  9 10  3  3  3  3  6  2  1 |   1 ; final points:  2.44
Alma               Pavardaite2 |   4  7  3  7  3  4  7  9  1  1 |   1 ; final points:  2.44
Ignas             Pavardenis10 |   7  2  2  8  6  3  5  4  8  1 |   1 ; final points:  2.44
Irma               Pavardaite7 |   2  7 10  2  6  4  4  4  3  4 |   1 ; final points:  2.44
Jolanta            Pavardaite8 |  10  5  2  6  4  6  2  4  3  4 |   1 ; final points:  2.44
Alma               Pavardaite9 |   2  7  8  6  1  3  1  3  7  8 |   1 ; final points:  2.44
Irma               Pavardaite5 |   4  9  5  4  6  7  1  3  4  3 |   1 ; final points:  2.44
Irena              Pavardaite8 |   8  7  1  1  6  3  2  1  9  8 |   1 ; final points:  2.44
Egle               Pavardaite1 |   4  8  3  4  3  9  4  2  7  2 |   1 ; final points:  2.44
Alma               Pavardaite6 |   9  3  2 10  2  7  5  5  2  1 |   1 ; final points:  2.44
Jonas             Pavardenis10 |   3  5 10  2  4  1  3  9  8  1 |   1 ; final points:  2.44
Alma               Pavardaite5 |   5  7  6  1  6  2  4  3  9  3 |   1 ; final points:  2.44
Irma               Pavardaite7 |   2  2  9  3  1  4  6  7  8  4 |   1 ; final points:  2.44
Simas              Pavardenis7 |   4  7  5  5  4  6  1  6  2  6 |   1 ; final points:  2.44
Jolanta            Pavardaite8 |   4  6  3  8  6  2  2  7  3  5 |   1 ; final points:  2.44
Simas              Pavardenis7 |   2  4 10  9  2  5  2  8  2  3 |   1 ; final points:  2.48
Simas              Pavardenis4 |   9  3  7  4  1  2  6  2  8  5 |   1 ; final points:  2.48
Simas              Pavardenis6 |   8  6  9  4  3  4  5  5  1  2 |   1 ; final points:  2.48
Petras             Pavardenis9 |   4 10  3 10  3  3  1  7  4  2 |   1 ; final points:  2.48
Alma               Pavardaite3 |   1  2  8  6  4  8  4  4  7  3 |   1 ; final points:  2.48
Ignas             Pavardenis10 |   7  5  9  6  3 10  2  1  2  2 |   1 ; final points:  2.48
Irma               Pavardaite9 |   3  4  1  7  2 10  2  3  5 10 |   1 ; final points:  2.48
Egle               Pavardaite5 |   3  1 10  9  1  6  3  9  3  2 |   1 ; final points:  2.48
Irena             Pavardaite10 |   3 10  1  8  8  4  3  5  2  3 |   1 ; final points:  2.48
Jolanta            Pavardaite8 |   8  4  4  2  2 10  3  4  2  8 |   1 ; final points:  2.48
Ignas              Pavardenis4 |   4  1  9  5  5  8  6  1  1  7 |   1 ; final points:  2.48
Jonas              Pavardenis4 |   9  1  8  4  9  5  1  3  5  2 |   1 ; final points:  2.48
Egle               Pavardaite5 |   4  4  5  7  3  1  2  8  9  4 |   1 ; final points:  2.48
Darius             Pavardenis6 |  10 10  2  1  7  8  2  3  2  2 |   1 ; final points:  2.48
Petras             Pavardenis1 |   4  3  5  2  8  3  3  9  9  1 |   1 ; final points:  2.48
Jonas              Pavardenis2 |   1  7  4  2  5  3  9  5  3  8 |   1 ; final points:  2.48
Ignas              Pavardenis9 |   3  4  2  4  3  9  9  6  6  1 |   1 ; final points:  2.48
Irena              Pavardaite7 |   2  4  3  3  1  9  6  6  7  6 |   1 ; final points:  2.48
Jonas              Pavardenis1 |   9  3  4  4  3  3  3  7  5  6 |   1 ; final points:  2.48
Petras             Pavardenis9 |   1  9  5  2  8  2  7  2  9  2 |   1 ; final points:  2.48
Alma               Pavardaite6 |   7  3  1  7  4  9  2  7  5  2 |   1 ; final points:  2.48
Petras             Pavardenis5 |   1 10  2  2  2  1  6  3  2  3 |   2 ; final points:  2.48
Simas              Pavardenis8 |   4  6  5  5  9  6  1  2  4  5 |   1 ; final points:  2.48
Irma              Pavardaite10 |   8  1  1  2  3  5  8  1  1  2 |   2 ; final points:  2.48
Jolanta            Pavardaite5 |   1  5  7  7  5  5  7  5  1  4 |   1 ; final points:  2.48
Darius             Pavardenis4 |   1  6  3  8  5  1  8  1  7  8 |   1 ; final points:  2.52
Ignas             Pavardenis10 |   1  1  5  5  8  2  3  9  6  8 |   1 ; final points:  2.52
Egle               Pavardaite6 |   3  2  4  3  8  1  2  1  5  4 |   2 ; final points:  2.52
Jolanta            Pavardaite9 |   8  7  4  5  4  7  4  6  1  2 |   1 ; final points:  2.52
Alma               Pavardaite3 |   7  9  1  3  1  3  3  4  9  8 |   1 ; final points:  2.52
Simas              Pavardenis7 |   1  5  5  5  1  4  7  4  6 10 |   1 ; final points:  2.52
Darius             Pavardenis5 |   3  3  4  6  5  4  1  1  5  1 |   2 ; final points:  2.52
Petras             Pavardenis8 |   2  7  5  1  9  4  4  2  9  5 |   1 ; final points:  2.52
Irma               Pavardaite8 |   7  7  2  4  2  7  3  6  3  7 |   1 ; final points:  2.52
Irena              Pavardaite8 |   1  8  5  3  2  8  7  3  3  8 |   1 ; final points:  2.52
Ignas              Pavardenis8 |   2  5 10  1  7  4  4  2  3 10 |   1 ; final points:  2.52
Ignas              Pavardenis6 |   1  1  9 10  2  1 10  1  7  6 |   1 ; final points:  2.52
Simas              Pavardenis3 |   3  1  1  8  5  8  9  3  5  5 |   1 ; final points:  2.52
Simas              Pavardenis4 |   5  1  4  2  6  8 10  3  3  6 |   1 ; final points:  2.52
Irena              Pavardaite2 |   7  2  2  4  5  1  8  4  8  7 |   1 ; final points:  2.52
Alma               Pavardaite6 |   6  4  3  2  2  1  2  2  4  7 |   2 ; final points:  2.52
Petras             Pavardenis3 |   5  8  2  1  9  8  2  3  2  8 |   1 ; final points:  2.52
Irma              Pavardaite10 |   9  6  3  6  7  4 10  1  1  1 |   1 ; final points:  2.52
Irena              Pavardaite2 |   3 10  1  3 10  4  5  7  2  3 |   1 ; final points:  2.52
Jolanta            Pavardaite1 |   3  8  8  1  6  1  8  4  2  7 |   1 ; final points:  2.52
Simas              Pavardenis8 |   8  5  1  2  9  4  3  1  5 10 |   1 ; final points:  2.52
Darius             Pavardenis5 |   4  8  7  1  2  2  3  7  9  5 |   1 ; final points:  2.52
Darius             Pavardenis5 |   1  8  1  3  2  4  3  2  2  7 |   2 ; final points:  2.52
Irma               Pavardaite3 |   4 10  7  1  6  1  4  6  3  6 |   1 ; final points:  2.52
Simas              Pavardenis9 |   9  3  3  9  4  2  9  3  1  5 |   1 ; final points:  2.52
Jolanta            Pavardaite9 |   4  1  2  8 10  3  3  2 10  5 |   1 ; final points:  2.52
Irena              Pavardaite4 |   7  1  6  1  1  8  4  6 10  4 |   1 ; final points:  2.52
Jolanta            Pavardaite7 |   1  1  5  1  5  9  9  4  8  5 |   1 ; final points:  2.52
Jolanta            Pavardaite8 |   4  6  4  5  7  4  2  5  2  9 |   1 ; final points:  2.52
Jonas              Pavardenis2 |   8  3  2  6  3  2 10  3  6  5 |   1 ; final points:  2.52
Ignas              Pavardenis9 |   7 10  4  2  3  1  7  4  8  2 |   1 ; final points:  2.52
Egle               Pavardaite9 |   2  5  4  2  3  1  5  8 10  8 |   1 ; final points:  2.52
Ignas              Pavardenis5 |   4  6  4  6  8  2  3  4 10  1 |   1 ; final points:  2.52
Petras             Pavardenis9 |   1  2  5  5  8  6  1  7  9  5 |   1 ; final points:  2.56
Simas              Pavardenis5 |   8  3  2  8  2  4  1 10  8  3 |   1 ; final points:  2.56
Ignas              Pavardenis4 |   7  2  9  3  1  3  8  8  2  6 |   1 ; final points:  2.56
Jonas              Pavardenis4 |   9  8  2  9  6  1  2  1  8  3 |   1 ; final points:  2.56
Darius             Pavardenis9 |   1  1  7  1  9  4  8  1  7 10 |   1 ; final points:  2.56
Simas              Pavardenis5 |   4  3  6  6  8  4  3  7  6  2 |   1 ; final points:  2.56
Darius             Pavardenis4 |   5  6  1  9 10  6  2  5  2  3 |   1 ; final points:  2.56
Simas              Pavardenis7 |   4  6  7  8  4  9  1  1  8  1 |   1 ; final points:  2.56
Jonas              Pavardenis6 |   8  3  8  5  5  4  2  9  4  1 |   1 ; final points:  2.56
Simas              Pavardenis6 |   5  1  6  3  6  7  1  3  8  9 |   1 ; final points:  2.56
Simas              Pavardenis1 |   7  5  2  8  4  1  3  8  5  6 |   1 ; final points:  2.56
Simas             Pavardenis10 |   3  7  6  3  8  2  3 10  4  3 |   1 ; final points:  2.56
Darius             Pavardenis1 |   3  3  2  8  5  5  8  5  3  7 |   1 ; final points:  2.56
Egle               Pavardaite9 |   7  4  1  3  7  6  9  3  4  5 |   1 ; final points:  2.56
Petras             Pavardenis1 |   2 10  4  5  7  2  5  3  6  5 |   1 ; final points:  2.56
Irena              Pavardaite8 |   4  2  5  7  2  6  5  2  7  9 |   1 ; final points:  2.56
Egle               Pavardaite6 |   5  3  4  6  1  4  5  2  1  3 |   2 ; final points:  2.56
Jolanta            Pavardaite7 |   3  1  9  9  1  6  4  1  9  6 |   1 ; final points:  2.56
Jolanta            Pavardaite9 |   8  7  2  7  3  4  9  1  6  2 |   1 ; final points:  2.56
Irma               Pavardaite9 |   7  3  5  3  5  8 10  2  3  3 |   1 ; final points:  2.56
Darius             Pavardenis1 |   8  2  9  6  1  7  2  2  5  7 |   1 ; final points:  2.56
Petras             Pavardenis7 |   8  4  1  7  5  3  4  4  6  7 |   1 ; final points:  2.56
Jolanta            Pavardaite6 |   7  2  4  8  2  5  5  7  8  1 |   1 ; final points:  2.56
Jonas              Pavardenis5 |   7  4  4  1  2  6  7  3  8  7 |   1 ; final points:  2.56
Jolanta            Pavardaite5 |   6  4  3  2  3  7  5  5  6  8 |   1 ; final points:  2.56
Simas              Pavardenis3 |   3 10  7  5  6  1  8  2  3  4 |   1 ; final points:  2.56
Petras             Pavardenis8 |   2  2 10  2  3  5  6  2 10  7 |   1 ; final points:  2.56
Simas              Pavardenis3 |   6  2  6  5  6  5  4  3  7  5 |   1 ; final points:  2.56
Jonas              Pavardenis6 |   2  1  7  9  2 10  1  8  2  7 |   1 ; final points:  2.56
Egle               Pavardaite6 |  10  9  2  5  3  7  5  2  4  2 |   1 ; final points:  2.56
Darius             Pavardenis1 |   1  2  1  8 10  2  6  3 10  6 |   1 ; final points:  2.56
Jolanta            Pavardaite6 |   4 10  3  8  5  5  3  5  2  4 |   1 ; final points:  2.56
Irma               Pavardaite1 |   1  5  6  7  2  2  8  3  9  6 |   1 ; final points:  2.56
Jolanta            Pavardaite5 |   4  8  7 10  5  2  1  2  7  3 |   1 ; final points:  2.56
Darius             Pavardenis9 |   3  7  6  6  6  3  6  9  2  2 |   1 ; final points:  2.60
Darius             Pavardenis8 |   1  6  4  5 10  1  4  9  7  3 |   1 ; final points:  2.60
Petras             Pavardenis1 |   7  4  1  6  3  1  8  2  9  9 |   1 ; final points:  2.60
Jonas              Pavardenis6 |   6  3 10  1  9  5  6  1  4  5 |   1 ; final points:  2.60
Ignas              Pavardenis4 |   4  7  8  1  9  2  1  5  8  5 |   1 ; final points:  2.60
Irma               Pavardaite7 |   4  6  8  5  5  8  2  1  8  3 |   1 ; final points:  2.60
Alma               Pavardaite7 |   9  1  2  3 10  5  3  8  5  4 |   1 ; final points:  2.60
Jonas              Pavardenis4 |   4  7  3 10  4  4  4  4  6  4 |   1 ; final points:  2.60
Darius            Pavardenis10 |   8  3  8  2  3  4  5  3 10  4 |   1 ; final points:  2.60
